"","Nombre","Marca","Peso","Color","valoraciones","Precio"
"66","
                
                    
                    
                

                
                    
                    
                        Medion Akoya S6445 - Portátil ultrafino 15.6"" FullHD (Intel Core i5-8265U, 4GB RAM, 128GB SSD, Intel UHD Graphics, Windows 10 Home Plus) color gris - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MEDION","1,7 Kg","-1","61 valoraciones","449,99 €"
"67","
                
                    
                    
                

                
                    
                    
                        MSI Alpha 15 A3DDK-001XES - Ordenador Portátil Gaming de 15.6"" 120Hz FullHD (AMD Ryzen 7-3750H, 16GB RAM, 512GB SSD, Radeon RX5500M-4GB, sin Sistema Operativo) negro - teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MSI","4,14 Kg","-1","19 valoraciones","949,99 €"
"68","
                
                    
                    
                

                
                    
                    
                        Acer Aspire 3A315-41-R8N8 - Ordenador portátil de 15.6"" FullHD LED (AMD Ryzen 7 2700U, 8GB de RAM, 128GB SSD + 1TB HDD, Radeon RX Vega 10 Graphics, Windows 10 Home) Negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","Acer","2,82 Kg","negro","100 valoraciones",NA
"69","
                
                    
                    
                

                
                    
                    
                        MEDION ERAZER P6605 - Portátil gaming 15.6"" FullHD (Intel Core i5-8300H, 8GB RAM, 256GB SSD, Nvidia GTX1050-4GB, Windows 10 Home) negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MEDION","2,2 Kg","Negro","214 valoraciones","809,99 €"
"70","
                
                    
                    
                

                
                    
                    
                        Thomson NEOX Laptop de 12,5 Pulgadas con Pantalla sin Marco de 2K, Intel Celeron 3865U, 4 GB de RAM, 64 GB de Almacenamiento y Windows 10 - Aluminio Rosa
                    
                

                
                    
                    
                
            ","THOMSON","1,65 Kg","-1","1 valoración","311,51 €"
"71","
                
                    
                    
                

                
                    
                    
                        MSI GF75 Thin 9SC-277XES - Ordenador portátil de 17.3"" FHD 120Hz (Intel Core i7-9750H, 16 GB RAM, 512 GB SSD, Nvidia GTX1650-4GB, sin Sistema operativo) negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MSI","4,1 Kg","negro","209 valoraciones","999,00 €"
"72","
                
                    
                    
                

                
                    
                    
                        Lenovo ThinkPad X240 12.5"" (1366x768) 4th Gen Intel Core i5-4210Y 8GB 500GB Windows 10 Professional 64-bit Laptop PC (Certified Refurbished)
                    
                

                
                    
                    
                
            ","Lenovo","2,3 Kg","-1","7 valoraciones","401,83 €"
"73","
                
                    
                    
                

                
                    
                    
                        Asus ROG Zephyrus S GX701GWR-H6063T - Portátil Gaming de 17,3"" 144Hz FullHD (Intel Core i7-9750H, 16GB RAM, 512GB SSD, RTX 2070 8GB GDDR6, Windows 10 Home) Aluminio Negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS","2,6 Kg","Aluminio Negro","1 valoración",NA
"74","
                
                    
                    
                

                
                    
                    
                        ASUS TUF Gaming FX505DV-AL014 - Portátil Gaming de 15,6"" FullHD (Ryzen 7 3750H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX2060-6GB, Sin Sistema Operativo) Negro Sigilo - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS","2,38 Kg","Negro","42 valoraciones",NA
"75","
                
                    
                    
                

                
                    
                    
                        Ordenador Portátil Buenos 14.1 Pulgadas, 4GB RAM 64GB eMMC Tarjeta TF de 128GB Windows 10 Ordenadores Portatiles Intel Core Apollo Lake N3350,1920*1080 WiFi Notebook portatil 14.1"" Laptop
                    
                

                
                    
                    
                
            ","DUODUOGO","1,5 Kg","red","4 valoraciones",NA
